GB2260码,曾用GB2260码,国统码,名称,全拼,简拼,经纬度
110100,NULL,110100000000,市辖区,shixiaqu,sxq,NULL
110101,NULL,110101000000,东城区,dongchengqu,dcq,NULL
NULL,NULL,110101001000,东华门街道,donghuamenjiedao,dhmjd,NULL
NULL,NULL,110101002000,景山街道,jingshanjiedao,jsjd,NULL
NULL,NULL,110101003000,交道口街道,jiaodaokoujiedao,jdkjd,NULL
NULL,NULL,110101004000,安定门街道,andingqiaojiedao,adqjd,NULL
NULL,NULL,110101005000,北新桥街道,beixinqiaojiedao,bxqjd,NULL
NULL,NULL,110101006000,东四街道,dongsijiedao,dsjd,NULL
NULL,NULL,110101007000,朝阳门街道,chaoyangmenjiedao,cymjd,NULL
NULL,NULL,110101008000,建国门街道,jianguomenjiedao,jgmjd,NULL
NULL,NULL,110101009000,东直门街道,dongzhimenjiedao,dzmjd,NULL
NULL,NULL,110101010000,和平里街道,hepinglijiedao,hpljd,NULL
NULL,NULL,110101011000,前门街道,qianmenjiedao,qmjd,NULL
NULL,NULL,110101012000,崇文门外街道,chongwenmenjiedao,cwmjd,NULL
NULL,NULL,110101013000,东花市街道,donghuashijiedao,dhsjd,NULL
NULL,NULL,110101014000,龙潭街道,longtanjiedao,ltjd,NULL
NULL,NULL,110101015000,体育馆路街道,tiyuguanlujiedao,tygljd,NULL
NULL,NULL,110101016000,天坛街道,tiantanjiedao,ttjd,NULL
NULL,NULL,110101017000,永定门外街道,yongdingmenwaijiedao,ydmwjd,NULL
110102,NULL,110102000000,西城区,xichengqu,xcq,NULL
110105,NULL,110105000000,朝阳区,chaoyangqu,cyq,NULL
110106,NULL,110106000000,丰台区,fengtaiqu,ftq,NULL
110107,NULL,110107000000,石景山区,shijingshanqu,sjsq,NULL
110108,NULL,110108000000,海淀区,haidianqu,hdq,NULL
110109,NULL,110109000000,门头沟区,mentougouqu,mtgq,NULL
110111,NULL,110111000000,房山区,fangshanqu,fsq,NULL
110112,NULL,110112000000,通州区,tongzhouqu,tzq,NULL
110113,NULL,110113000000,顺义区,shunyiqu,syq,NULL
110114,NULL,110114000000,昌平区,changpingqu,cpq,NULL
110115,NULL,110115000000,大兴区,daxingqu,dxq,NULL
110116,NULL,110116000000,怀柔区,huairouqu,hrq,NULL
110117,NULL,110117000000,平谷区,pingguqu,pgq,NULL
110118,NULL,110118000000,密云区,miyunqu,myq,NULL
110119,NULL,110119000000,延庆区,yanqingqu,yqq,NULL
